"BehaviorSpace results (NetLogo 6.1.1)"
"model.nlogo"
"vary-sv-compliance"
"11/14/2020 21:25:22:197 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","299","0","299"
"[run number]","duration","initial-infected","allow-exogenous-infections?","exogenous-infection","visual-elements?","min-radius","daily-contacts","p-infect-base","asym-infectiousness","lose-immunity?","min-immunity-duration","recovery-mean","recovery-stdev","death-mean","death-stdev","incubation-mean","incubation-stdev","imposed-lockdown?","lockdown-threshold","lockdown-compliance","shield-vulnerable?","shield-threshold","shield-compliance","personal-protections?","protections-threshold","protections-strength","protections-compliance","test-and-trace?","testtrace-threshold","contact-history-length","test-coverage-sym","test-coverage-asym","contacts-traced","isolation-compliance-tested","isolation-compliance-traced","isolation-symptomatics?","isolation-sym-threshold","isolation-compliance-sym","isolation-duration-case","isolation-duration-contact","min-pxcor","min-pycor","max-pxcor","max-pycor","[step]","count susceptibles","count exposeds","count symptomatics","count asymptomatics","count recovereds","count-locked","num-contacts","lockdown-active?","shielding-active?","protections-active?","get-age-bracket-data ""0-18"" ""infected""","get-age-bracket-data ""19-39"" ""infected""","get-age-bracket-data ""40-49"" ""infected""","get-age-bracket-data ""50-59"" ""infected""","get-age-bracket-data ""60-69"" ""infected""","get-age-bracket-data ""70-79"" ""infected""","get-age-bracket-data ""80+"" ""infected""","get-age-bracket-data ""0-18"" ""dead""","get-age-bracket-data ""19-39"" ""dead""","get-age-bracket-data ""40-49"" ""dead""","get-age-bracket-data ""50-59"" ""dead""","get-age-bracket-data ""60-69"" ""dead""","get-age-bracket-data ""70-79"" ""dead""","get-age-bracket-data ""80+"" ""dead"""
"7","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","2","89882","83","0","35","0","0","269832","false","false","false","7","14","4","2","3","3","2","0","0","0","0","0","0","0"
"8","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","16","89048","474","165","304","9","0","269778","false","true","false","106","122","49","82","47","45","27","0","0","0","0","0","0","0"
"2","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","5","89813","110","27","50","0","0","269651","false","false","false","20","23","8","13","3","8","2","0","0","0","0","0","0","0"
"4","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","4","89850","89","8","53","0","0","269715","false","false","false","20","13","9","7","3","5","4","0","0","0","0","0","0","0"
"1","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","13","89273","377","126","221","3","0","269660","false","true","false","64","90","49","58","42","28","19","0","0","0","0","0","0","0"
"5","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","7","89755","149","26","70","0","0","269722","false","false","false","18","30","5","19","11","9","4","0","0","0","0","0","0","0"
"6","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","5","89784","130","25","61","0","0","269724","false","false","false","19","30","10","8","7","8","4","0","0","0","0","0","0","0"
"3","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","5","89767","130","20","83","0","0","269759","false","false","false","26","25","8","18","7","15","4","0","0","0","0","0","0","0"
"7","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","3","89857","94","5","44","0","0","269832","false","false","false","12","16","5","4","5","5","2","0","0","0","0","0","0","0"
"8","1","0.1","true","1","false","2","50","10","30","false","180","20.5","6.7","16","8.21","1.6","1.4","false","4","75","true","0.1","0","false","1","50","100","false","0","7","100","100","100","100","100","false","0","100","7","14","0","0","299","299","17","88927","520","201","341","11","0","269778","false","true","false","124","142","57","93","56","49","32","0","0","0","0","0","0","0"
